label=GoogleLES build_tabular end-to-end
samples=13451 sample_rate=0.05
format=flat sortedby=count mincount=5

    Count  Overhead File                                                                                                                        Line Function
     1136         0 @Base/array.jl                                                                                                              740 _collect(cont::UnitRange{Int64}, itr::Base.SplitIterator{String, Regex}, ::Base.HasEltype, isz::Base.SizeUnknown)
     1184         0 @Base/iobuffer.jl                                                                                                           773 take!(io::IOBuffer)
     1184         0 @HTTP/src/Streams.jl                                                                                                        330 read
     1184         0 @Base/task.jl                                                                                                               607 sync_end(c::Channel{Any})
     1184      1184 @Base/indices.jl                                                                                                            217 setindex_shape_check(::Array{Float32, 4}, ::Int64, ::Int64, ::Int64, ::Vararg{Int64})
     1184         0 @Base/multidimensional.jl                                                                                                  1017 macro expansion
     1184         0 @Base/multidimensional.jl                                                                                                  1029 _unsafe_setindex!(::IndexLinear, ::Array{Float32, 4}, ::Array{Float32, 4}, ::UnitRange{Int64}, ::UnitRange{Int64}, ::UnitRange{Int64}, ::UnitR…
     1184         0 @Base/multidimensional.jl                                                                                                  1008 _setindex!
     1184         0 @Base/abstractarray.jl                                                                                                     1443 setindex!
     1184         0 @Zarr/src/ZArray.jl                                                                                                         291 uncompress_to_output!(aout::Array{Float32, 4}, output_base_offsets::NTuple{4, Int64}, z::Zarr.ZArray{Float32, 4, Zarr.BloscCompressor, Zarr.GC…
     1200      1200 @Base/Base_compiler.jl                                                                                                       54 getproperty
     1214         0 @Base/intfuncs.jl                                                                                                           990 string(n::Int64)
     1216         0 @Base/array.jl                                                                                                              158 vect
     1216         0 @HTTP/src/cookiejar.jl                                                                                                       63 getcookies!(jar::HTTP.Cookies.CookieJar, url::URIs.URI, now::Dates.DateTime)
     1248      1248 @Base/range.jl                                                                                                              921 iterate
     1248         0 @Base/array.jl                                                                                                              164 vect
     1248         0 @HTTP/src/Messages.jl                                                                                                       327 bodylength(r::HTTP.Messages.Response)
     1248         0 @HTTP/src/Streams.jl                                                                                                        163 startread(http::HTTP.Streams.Stream{HTTP.Messages.Response, HTTP.Connections.Connection{OpenSSL.SSLStream}})
     1248         0 @Base/iobuffer.jl                                                                                                           619 ensureroom_reallocate(io::IOBuffer, nshort::UInt64)
     1248         0 @Base/iobuffer.jl                                                                                                           603 ensureroom
     1248         0 @Base/iobuffer.jl                                                                                                           764 take!(io::IOBuffer)
     1256         0 @Base/channels.jl                                                                                                           452 put_unbuffered(c::Channel{Any}, v::Tuple{Base.RefValue{Any}, Tuple{CartesianIndex{4}}})
     1272         0 @Base/io.jl                                                                                                                 794 write(::IOBuffer, ::SubString{String}, ::String, ::SubString{String}, ::Vararg{Any})
     1280      1280 @Base/channels.jl                                                                                                           199 close
     1296      1296 @Base/refvalue.jl                                                                                                             8 RefValue
     1296         0 @Base/task.jl                                                                                                               589 sync_end(c::Channel{Any})
